Year,Series,Reference area,Units,Value
2010,Water loss at transportation as proportion of total water withdrawal,Talas,Percent,27.6
2011,Water loss at transportation as proportion of total water withdrawal,Talas,Percent,28.7
2012,Water loss at transportation as proportion of total water withdrawal,Talas,Percent,29.2
2013,Water loss at transportation as proportion of total water withdrawal,Talas,Percent,30.1
2014,Water loss at transportation as proportion of total water withdrawal,Talas,Percent,29.2
2015,Water loss at transportation as proportion of total water withdrawal,Talas,Percent,30.6
2016,Water loss at transportation as proportion of total water withdrawal,Talas,Percent,31.1
2017,Water loss at transportation as proportion of total water withdrawal,Talas,Percent,30.3
2018,Water loss at transportation as proportion of total water withdrawal,Talas,Percent,31.1
2019,Water loss at transportation as proportion of total water withdrawal,Talas,Percent,31.6
2010,Water loss at transportation as proportion of total water withdrawal,Chui,Percent,22.4
2011,Water loss at transportation as proportion of total water withdrawal,Chui,Percent,22.9
2012,Water loss at transportation as proportion of total water withdrawal,Chui,Percent,26.1
2013,Water loss at transportation as proportion of total water withdrawal,Chui,Percent,25.5
2014,Water loss at transportation as proportion of total water withdrawal,Chui,Percent,27.0
2015,Water loss at transportation as proportion of total water withdrawal,Chui,Percent,36.2
2016,Water loss at transportation as proportion of total water withdrawal,Chui,Percent,26.0
2017,Water loss at transportation as proportion of total water withdrawal,Chui,Percent,32.2
2018,Water loss at transportation as proportion of total water withdrawal,Chui,Percent,29.9
2019,Water loss at transportation as proportion of total water withdrawal,Chui,Percent,30.3
2010,Water loss at transportation as proportion of total water withdrawal,Bishkek (city),Percent,18.2
2011,Water loss at transportation as proportion of total water withdrawal,Bishkek (city),Percent,22.0
2013,Water loss at transportation as proportion of total water withdrawal,Bishkek (city),Percent,20.9
2014,Water loss at transportation as proportion of total water withdrawal,Bishkek (city),Percent,21.0
2015,Water loss at transportation as proportion of total water withdrawal,Bishkek (city),Percent,21.0
2016,Water loss at transportation as proportion of total water withdrawal,Bishkek (city),Percent,21.0
2017,Water loss at transportation as proportion of total water withdrawal,Bishkek (city),Percent,20.9
2018,Water loss at transportation as proportion of total water withdrawal,Bishkek (city),Percent,20.8
2019,Water loss at transportation as proportion of total water withdrawal,Bishkek (city),Percent,19.3
2017,Water loss at transportation as proportion of total water withdrawal,Osh (city),Percent,12.0
2018,Water loss at transportation as proportion of total water withdrawal,Osh (city),Percent,12.0
2019,Water loss at transportation as proportion of total water withdrawal,Osh (city),Percent,11.9
