Year,Series,Reference area,Sex,Value
2010,SL_EMP_FTLINJUR,Batken,,15.755475
2011,SL_EMP_FTLINJUR,Batken,,13.845621
2012,SL_EMP_FTLINJUR,Batken,,10.351253
2013,SL_EMP_FTLINJUR,Batken,,12.475439
2014,SL_EMP_FTLINJUR,Batken,,2.86574
2015,SL_EMP_FTLINJUR,Batken,,17.705905
2016,SL_EMP_FTLINJUR,Batken,,20.716188
2017,SL_EMP_FTLINJUR,Batken,,11.266019
2018,SL_EMP_FTLINJUR,Batken,,2.849977
2019,SL_EMP_FTLINJUR,Batken,,14.151477
2007,SL_EMP_FTLINJUR,Batken,Male,7.11187
2008,SL_EMP_FTLINJUR,Batken,Male,7.190106
2009,SL_EMP_FTLINJUR,Batken,Male,41.52479
2010,SL_EMP_FTLINJUR,Batken,Male,28.176951
2011,SL_EMP_FTLINJUR,Batken,Male,26.668445
2012,SL_EMP_FTLINJUR,Batken,Male,20.19794
2013,SL_EMP_FTLINJUR,Batken,Male,23.565453
2014,SL_EMP_FTLINJUR,Batken,Male,6.255865
2015,SL_EMP_FTLINJUR,Batken,Male,38.56289
2016,SL_EMP_FTLINJUR,Batken,Male,43.859649
2017,SL_EMP_FTLINJUR,Batken,Male,24.816975
2018,SL_EMP_FTLINJUR,Batken,Male,6.485505
2019,SL_EMP_FTLINJUR,Batken,Male,32.036907
2007,SL_EMP_FTLINJUR,Jalal-Abad,,3.583972
2008,SL_EMP_FTLINJUR,Jalal-Abad,,4.534393
2009,SL_EMP_FTLINJUR,Jalal-Abad,,3.352498
2010,SL_EMP_FTLINJUR,Jalal-Abad,,1.65191
2011,SL_EMP_FTLINJUR,Jalal-Abad,,4.722773
2012,SL_EMP_FTLINJUR,Jalal-Abad,,9.200055
2013,SL_EMP_FTLINJUR,Jalal-Abad,,9.390847
2014,SL_EMP_FTLINJUR,Jalal-Abad,,3.023614
2015,SL_EMP_FTLINJUR,Jalal-Abad,,2.776081
2016,SL_EMP_FTLINJUR,Jalal-Abad,,1.395557
2017,SL_EMP_FTLINJUR,Jalal-Abad,,13.231714
2013,SL_EMP_FTLINJUR,Jalal-Abad,Female,2.833263
2007,SL_EMP_FTLINJUR,Jalal-Abad,Male,7.714264
2008,SL_EMP_FTLINJUR,Jalal-Abad,Male,9.484367
2009,SL_EMP_FTLINJUR,Jalal-Abad,Male,7.03705
2010,SL_EMP_FTLINJUR,Jalal-Abad,Male,3.454351
2011,SL_EMP_FTLINJUR,Jalal-Abad,Male,10.300783
2012,SL_EMP_FTLINJUR,Jalal-Abad,Male,20.34381
2013,SL_EMP_FTLINJUR,Jalal-Abad,Male,17.484352
2014,SL_EMP_FTLINJUR,Jalal-Abad,Male,6.547716
2015,SL_EMP_FTLINJUR,Jalal-Abad,Male,6.146848
2016,SL_EMP_FTLINJUR,Jalal-Abad,Male,3.084611
2017,SL_EMP_FTLINJUR,Jalal-Abad,Male,29.022521
2007,SL_EMP_FTLINJUR,Issyk-Kul,,13.136807
2008,SL_EMP_FTLINJUR,Issyk-Kul,,2.646273
2009,SL_EMP_FTLINJUR,Issyk-Kul,,16.290182
2010,SL_EMP_FTLINJUR,Issyk-Kul,,7.840063
2011,SL_EMP_FTLINJUR,Issyk-Kul,,2.596189
2012,SL_EMP_FTLINJUR,Issyk-Kul,,5.463287
2014,SL_EMP_FTLINJUR,Issyk-Kul,,2.655901
2015,SL_EMP_FTLINJUR,Issyk-Kul,,7.797879
2016,SL_EMP_FTLINJUR,Issyk-Kul,,10.529918
2017,SL_EMP_FTLINJUR,Issyk-Kul,,7.956927
