Year,REF_AREA,SEX,GeoCode,Value
2021,KG08,,KG08,1.197447
2010,KG08,F,KG08,2.1
2011,KG08,F,KG08,2.141527
2012,KG08,F,KG08,2.071794
2013,KG08,F,KG08,1.979714
2014,KG08,F,KG08,1.9
2015,KG08,F,KG08,1.9
2016,KG08,F,KG08,1.9
2017,KG08,F,KG08,1.9
2018,KG08,F,KG08,1.9
2019,KG08,F,KG08,1.87848
2020,KG08,F,KG08,1.8
2021,KG08,F,KG08,1.761924
2010,KG08,M,KG08,0.8
2011,KG08,M,KG08,0.830337
2012,KG08,M,KG08,0.78522
2013,KG08,M,KG08,0.780341
2014,KG08,M,KG08,0.8
2015,KG08,M,KG08,0.8
2016,KG08,M,KG08,0.8
2017,KG08,M,KG08,0.7
2018,KG08,M,KG08,0.7
2019,KG08,M,KG08,0.683181
2020,KG08,M,KG08,0.6
2021,KG08,M,KG08,0.614634
2010,KG11,,KG11,3.0
2011,KG11,,KG11,2.964464
2012,KG11,,KG11,2.846105
2013,KG11,,KG11,2.749905
2014,KG11,,KG11,2.6
2015,KG11,,KG11,2.6
2016,KG11,,KG11,2.5
2017,KG11,,KG11,2.5
2018,KG11,,KG11,2.4
2019,KG11,,KG11,2.425243
2020,KG11,,KG11,2.4
2021,KG11,,KG11,2.314174
2010,KG11,F,KG11,4.4
2011,KG11,F,KG11,4.442963
2012,KG11,F,KG11,4.234888
2013,KG11,F,KG11,4.030083
2014,KG11,F,KG11,3.9
2015,KG11,F,KG11,3.8
2016,KG11,F,KG11,3.7
2017,KG11,F,KG11,3.7
2018,KG11,F,KG11,3.6
2019,KG11,F,KG11,3.60581
2020,KG11,F,KG11,3.6
2021,KG11,F,KG11,3.459733
2010,KG11,M,KG11,1.3
2011,KG11,M,KG11,1.26046
2012,KG11,M,KG11,1.249552
2013,KG11,M,KG11,1.280644
2014,KG11,M,KG11,1.2
2015,KG11,M,KG11,1.2
2016,KG11,M,KG11,1.2
2017,KG11,M,KG11,1.1
2018,KG11,M,KG11,1.1
2019,KG11,M,KG11,1.089902
2020,KG11,M,KG11,1.1
2021,KG11,M,KG11,1.019886
2010,KG21,,KG21,2.4
2011,KG21,,KG21,2.497577
2012,KG21,,KG21,2.560942
2013,KG21,,KG21,2.575376
2014,KG21,,KG21,2.7
2015,KG21,,KG21,2.7
2016,KG21,,KG21,2.5
2017,KG21,,KG21,2.5
2018,KG21,,KG21,2.5
2019,KG21,,KG21,2.447765
2020,KG21,,KG21,2.4
2021,KG21,,KG21,2.137104
2010,KG21,F,KG21,3.1
2011,KG21,F,KG21,3.173246
2012,KG21,F,KG21,3.270652
2013,KG21,F,KG21,3.305533
2014,KG21,F,KG21,3.6
2015,KG21,F,KG21,3.5
2016,KG21,F,KG21,3.3
2017,KG21,F,KG21,3.2
2018,KG21,F,KG21,3.2
2019,KG21,F,KG21,3.087743
2020,KG21,F,KG21,3.1
2021,KG21,F,KG21,2.80382
2010,KG21,M,KG21,1.6
2011,KG21,M,KG21,1.762603
2012,KG21,M,KG21,1.791943
2013,KG21,M,KG21,1.78745
2014,KG21,M,KG21,1.8
2015,KG21,M,KG21,1.8
2016,KG21,M,KG21,1.7
2017,KG21,M,KG21,1.8
2018,KG21,M,KG21,1.7
2019,KG21,M,KG21,1.768148
2020,KG21,M,KG21,1.6
2021,KG21,M,KG21,1.434429
